gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber,home_gameId,home_teamId,home_team_rolling_assists,home_team_rolling_blocks,home_team_rolling_steals,home_team_rolling_fieldGoalsPercentage,home_team_rolling_threePointersPercentage,home_team_rolling_freeThrowsPercentage,home_team_rolling_reboundsTotal,home_team_rolling_turnovers,home_team_rolling_plusMinusPoints,home_team_rolling_pointsInThePaint,away_gameId,away_teamId,away_team_rolling_assists,away_team_rolling_blocks,away_team_rolling_steals,away_team_rolling_fieldGoalsPercentage,away_team_rolling_threePointersPercentage,away_team_rolling_freeThrowsPercentage,away_team_rolling_reboundsTotal,away_team_rolling_turnovers,away_team_rolling_plusMinusPoints,away_team_rolling_pointsInThePaint
22400047,2024-11-29 20:00:00+00:00,Chicago,Bulls,1610612741,Boston,Celtics,1610612738,129,138,1610612738,Regular Season,19798.0,66.0,Emirates NBA Cup,East Group C,0.0,22400047,1610612741,29.2,5.7,6.9,0.4932,0.39860000000000007,0.8362999999999999,41.6,15.0,-5.7,48.0,22400047,1610612738,27.7,6.0,6.3,0.46230000000000004,0.37999999999999995,0.7954000000000001,42.1,11.5,8.0,38.0
22400048,2024-11-29 22:00:00+00:00,Los Angeles,Lakers,1610612747,Oklahoma City,Thunder,1610612760,93,101,1610612760,Regular Season,18997.0,1000069.0,Emirates NBA Cup,West Group B,0.0,22400048,1610612747,27.4,5.1,7.6,0.49440000000000006,0.387,0.7809,39.4,11.9,1.6,51.6,22400048,1610612760,25.2,6.6,10.8,0.46740000000000004,0.3411,0.8294,40.9,10.8,7.5,49.2
22400049,2024-11-29 22:00:00+00:00,Portland,Trail Blazers,1610612757,Sacramento,Kings,1610612758,115,106,1610612757,Regular Season,17565.0,51.0,Emirates NBA Cup,West Group A,0.0,22400049,1610612757,21.3,7.6,9.6,0.4154,0.3317,0.7649,43.5,18.0,-10.8,45.4,22400049,1610612758,24.0,5.0,7.5,0.484,0.34520000000000006,0.7619,44.0,14.5,-2.0,47.6
22400051,2024-12-03 19:00:00+00:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,118,87,1610612739,Regular Season,19432.0,1000006.0,Emirates NBA Cup,East Group C,0.0,22400051,1610612739,27.0,4.2,8.6,0.49319999999999997,0.3892,0.8240000000000001,44.7,12.5,6.2,53.6,22400051,1610612764,23.5,4.0,7.8,0.44749999999999995,0.3247000000000001,0.7501,42.0,15.7,-16.2,49.2
22400050,2024-12-03 19:00:00+00:00,Charlotte,Hornets,1610612766,Philadelphia,76ers,1610612755,104,110,1610612755,Regular Season,14956.0,9.0,Emirates NBA Cup,East Group A,0.0,22400050,1610612766,23.5,5.3,8.7,0.41669999999999996,0.37300000000000005,0.7434999999999999,45.5,15.3,-6.2,36.8,22400050,1610612755,21.7,5.0,10.0,0.43340000000000006,0.3154,0.8222000000000002,40.7,13.7,-5.6,45.8
22400052,2024-12-03 19:00:00+00:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,107,128,1610612749,Regular Season,17988.0,624.0,Emirates NBA Cup,East Group B,0.0,22400052,1610612765,26.1,5.4,6.8,0.4546,0.36360000000000003,0.7527999999999999,45.6,14.6,-1.5,47.2,22400052,1610612749,26.1,6.8,7.9,0.48739999999999994,0.4184,0.7221,43.7,12.6,6.2,42.2
22400054,2024-12-03 19:30:00+00:00,Toronto,Raptors,1610612761,Indiana,Pacers,1610612754,122,111,1610612761,Regular Season,17741.0,643.0,Emirates NBA Cup,East Group B,0.0,22400054,1610612761,27.5,4.6,7.2,0.4681,0.3518,0.7051999999999999,49.2,15.4,-0.2,55.4,22400054,1610612754,27.5,5.2,9.4,0.48760000000000003,0.36829999999999996,0.8056000000000001,40.4,14.5,-6.0,54.2
22400053,2024-12-03 19:30:00+00:00,New York,Knicks,1610612752,Orlando,Magic,1610612753,121,106,1610612752,Regular Season,19812.0,30.0,Emirates NBA Cup,East Group A,0.0,22400053,1610612752,29.6,4.6,7.3,0.5035999999999999,0.398,0.8460999999999999,43.4,11.7,8.6,50.8,22400053,1610612753,24.9,8.2,10.1,0.46210000000000007,0.33399999999999996,0.8056000000000001,41.7,14.5,8.3,49.0
22400055,2024-12-03 20:00:00+00:00,Oklahoma City,Thunder,1610612760,Utah,Jazz,1610612762,133,106,1610612760,Regular Season,17711.0,1000052.0,Emirates NBA Cup,West Group B,0.0,22400055,1610612760,25.3,5.9,11.2,0.4572,0.3358,0.8126,42.0,10.3,7.2,48.0,22400055,1610612762,24.1,3.7,7.3,0.4715,0.3649,0.7643000000000001,44.2,16.4,-5.7,48.8
22400056,2024-12-03 20:30:00+00:00,Dallas,Mavericks,1610612742,Memphis,Grizzlies,1610612763,121,116,1610612742,Regular Season,20277.0,193.0,Emirates NBA Cup,West Group C,0.0,22400056,1610612742,26.2,6.1,9.0,0.4968,0.3902,0.7758,46.2,14.2,9.9,56.8,22400056,1610612763,31.0,7.5,8.6,0.4843,0.34349999999999997,0.7855999999999999,47.8,15.1,8.1,57.8
22400057,2024-12-03 21:00:00+00:00,Phoenix,Suns,1610612756,San Antonio,Spurs,1610612759,104,93,1610612756,Regular Season,17071.0,1000051.0,Emirates NBA Cup,West Group B,0.0,22400057,1610612756,26.2,4.3,7.8,0.4563,0.37540000000000007,0.7671,42.8,12.7,-4.4,41.4,22400057,1610612759,30.3,6.7,7.1,0.46380000000000016,0.3736,0.8172,42.8,12.9,2.8,41.0
